2458040.916666667, A.D. 2017-Oct-14 10:00:00.0000,  1.396274287053205E+08,  5.434906450312422E+07, -2.176286277056113E+04,
2458040.958333333, A.D. 2017-Oct-14 11:00:00.0000,  1.395857142116115E+08,  5.443626560102168E+07, -2.054703286799043E+04,
2458041.000000000, A.D. 2017-Oct-14 12:00:00.0000,  1.395381245053946E+08,  5.454523986100122E+07, -2.533977323085815E+04,
2458041.041666667, A.D. 2017-Oct-14 13:00:00.0000,  1.395092736877579E+08,  5.464480128754369E+07, -1.998964986583963E+04,
2458041.083333333, A.D. 2017-Oct-14 14:00:00.0000,  1.394602558309679E+08,  5.473545715040200E+07, -2.255130590323359E+04,
2458041.125000000, A.D. 2017-Oct-14 15:00:00.0000,  1.394200256971881E+08,  5.484767040383212E+07, -2.444102623415366E+04,
2458041.166666667, A.D. 2017-Oct-14 16:00:00.0000,  1.393876051198553E+08,  5.493904312656344E+07, -1.928323756678402E+04,
2458041.208333333, A.D. 2017-Oct-14 17:00:00.0000,  1.393354187594225E+08,  5.503743740174126E+07, -2.450242432664707E+04,
2458041.250000000, A.D. 2017-Oct-14 18:00:00.0000,  1.393023868285325E+08,  5.514691638631894E+07, -2.253805859038234E+04,
2458041.291666667, A.D. 2017-Oct-14 19:00:00.0000,  1.392624882995428E+08,  5.523403760386528E+07, -2.001156359978020E+04,
2458041.333333333, A.D. 2017-Oct-14 20:00:00.0000,  1.392126661267060E+08,  5.534072530279566E+07, -2.549189681386575E+04,
2458041.375000000, A.D. 2017-Oct-14 21:00:00.0000,  1.391831210564135E+08,  5.544276438260345E+07, -2.051569610038027E+04,
2458041.416666667, A.D. 2017-Oct-14 22:00:00.0000,  1.391353326308837E+08,  5.553155017533634E+07, -2.187200793886185E+04,
2458041.458333333, A.D. 2017-Oct-14 23:00:00.0000,  1.390921507105581E+08,  5.564310565226672E+07, -2.504288882186264E+04,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000,  1.390606140399529E+08,  5.573650023480593E+07, -1.933578596923873E+04,
2458041.541666667, A.D. 2017-Oct-15 01:00:00.0000,  1.390082067131274E+08,  5.583202095462716E+07, -2.402125959637389E+04,
2458041.583333333, A.D. 2017-Oct-15 02:00:00.0000,  1.389726434030394E+08,  5.594267473030680E+07, -2.334447423113510E+04,
2458041.625000000, A.D. 2017-Oct-15 03:00:00.0000,  1.389344989294700E+08,  5.603029458616125E+07, -1.958390401544049E+04,
2458041.666666667, A.D. 2017-Oct-15 04:00:00.0000,  1.388828418406235E+08,  5.613436489626592E+07, -2.546443298147991E+04,
2458041.708333333, A.D. 2017-Oct-15 05:00:00.0000,  1.388521202195554E+08,  5.623874593408336E+07, -2.118018251251802E+04,
2458041.750000000, A.D. 2017-Oct-15 06:00:00.0000,  1.388058319094313E+08,  5.632616579618543E+07, -2.118290510579944E+04,
2458041.791666667, A.D. 2017-Oct-15 07:00:00.0000,  1.387598113152992E+08,  5.643649389768267E+07, -2.551823526231572E+04,
2458041.833333333, A.D. 2017-Oct-15 08:00:00.0000,  1.387287360725048E+08,  5.653217785243285E+07, -1.957135739705339E+04,
2458041.875000000, A.D. 2017-Oct-15 09:00:00.0000,  1.386765788987744E+08,  5.662501414827908E+07, -2.341559716646001E+04,
2458041.916666667, A.D. 2017-Oct-15 10:00:00.0000,  1.386382610228243E+08,  5.673630242078473E+07, -2.413743002125993E+04,
2458041.958333333, A.D. 2017-Oct-15 11:00:00.0000,  1.386017117710414E+08,  5.682496299720167E+07, -1.929910926277563E+04,
2458042.000000000, A.D. 2017-Oct-15 12:00:00.0000,  1.385486644186747E+08,  5.692619970418437E+07, -2.525362875708938E+04,
2458042.041666667, A.D. 2017-Oct-15 13:00:00.0000,  1.385163158834533E+08,  5.703266566944609E+07, -2.195250599149242E+04,
2458042.083333333, A.D. 2017-Oct-15 14:00:00.0000,  1.384717080037902E+08,  5.711927622983453E+07, -2.052903989654034E+04,
2458042.125000000, A.D. 2017-Oct-15 15:00:00.0000,  1.384230545149644E+08,  5.722785698185650E+07, -2.583530930868909E+04,
2458042.166666667, A.D. 2017-Oct-15 16:00:00.0000,  1.383919807778497E+08,  5.732597695852609E+07, -1.998771988364682E+04,
2458042.208333333, A.D. 2017-Oct-15 17:00:00.0000,  1.383405043724247E+08,  5.741643401545975E+07, -2.271960544288903E+04,
2458042.250000000, A.D. 2017-Oct-15 18:00:00.0000,  1.382993022993475E+08,  5.752777785556188E+07, -2.487130253431574E+04,
2458042.291666667, A.D. 2017-Oct-15 19:00:00.0000,  1.382641009091946E+08,  5.761795844404933E+07, -1.918469212427363E+04,
2458042.333333333, A.D. 2017-Oct-15 20:00:00.0000,  1.382101361558383E+08,  5.771627002655917E+07, -2.486699800364673E+04,
2458042.375000000, A.D. 2017-Oct-15 21:00:00.0000,  1.381757600670424E+08,  5.782445504958018E+07, -2.279410746175423E+04,
2458042.416666667, A.D. 2017-Oct-15 22:00:00.0000,  1.381329166009853E+08,  5.791083825840826E+07, -1.995513424907625E+04,
2458042.458333333, A.D. 2017-Oct-15 23:00:00.0000,  1.380819189432525E+08,  5.801722620352066E+07, -2.597098940363154E+04,
2458042.500000000, A.D. 2017-Oct-16 00:00:00.0000,  1.380503687951581E+08,  5.811780088616195E+07, -2.057126460245997E+04,
2458042.541666667, A.D. 2017-Oct-16 01:00:00.0000,  1.379999463178317E+08,  5.820628502827203E+07, -2.197450558350608E+04,
2458042.583333333, A.D. 2017-Oct-16 02:00:00.0000,  1.379558278872944E+08,  5.831709468150653E+07, -2.550229266140983E+04,
