2458040.916666667, A.D. 2017-Oct-14 10:00:00.0000, -2.321681076799503E+08,  7.979612375046718E+07,  4.283561985898035E+07,
2458040.958333333, A.D. 2017-Oct-14 11:00:00.0000, -2.321961614688741E+08,  7.972863276252827E+07,  4.280541983644266E+07,
2458041.000000000, A.D. 2017-Oct-14 12:00:00.0000, -2.322241894196175E+08,  7.966113300015229E+07,  4.277521509181835E+07,
2458041.041666667, A.D. 2017-Oct-14 13:00:00.0000, -2.322521915289549E+08,  7.959362447087005E+07,  4.274500562848376E+07,
2458041.083333333, A.D. 2017-Oct-14 14:00:00.0000, -2.322801677937130E+08,  7.952610718216850E+07,  4.271479144982003E+07,
2458041.125000000, A.D. 2017-Oct-14 15:00:00.0000, -2.323081182107274E+08,  7.945858114147583E+07,  4.268457255918202E+07,
2458041.166666667, A.D. 2017-Oct-14 16:00:00.0000, -2.323360427767991E+08,  7.939104635618798E+07,  4.265434895988901E+07,
2458041.208333333, A.D. 2017-Oct-14 17:00:00.0000, -2.323639414886790E+08,  7.932350283370842E+07,  4.262412065523628E+07,
2458041.250000000, A.D. 2017-Oct-14 18:00:00.0000, -2.323918143430786E+08,  7.925595058148272E+07,  4.259388764851831E+07,
2458041.291666667, A.D. 2017-Oct-14 19:00:00.0000, -2.324196613367045E+08,  7.918838960701315E+07,  4.256364994305463E+07,
2458041.333333333, A.D. 2017-Oct-14 20:00:00.0000, -2.324474824663036E+08,  7.912081991783890E+07,  4.253340754220370E+07,
2458041.375000000, A.D. 2017-Oct-14 21:00:00.0000, -2.324752777286870E+08,  7.905324152148674E+07,  4.250316044935093E+07,
2458041.416666667, A.D. 2017-Oct-14 22:00:00.0000, -2.325030471207051E+08,  7.898565442542848E+07,  4.247290866787376E+07,
2458041.458333333, A.D. 2017-Oct-14 23:00:00.0000, -2.325307906392007E+08,  7.891805863708355E+07,  4.244265220111806E+07,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000, -2.325585082809726E+08,  7.885045416385213E+07,  4.241239105239554E+07,
2458041.541666667, A.D. 2017-Oct-15 01:00:00.0000, -2.325862000427709E+08,  7.878284101315583E+07,  4.238212522500174E+07,
2458041.583333333, A.D. 2017-Oct-15 02:00:00.0000, -2.326138659213164E+08,  7.871521919246583E+07,  4.235185472224060E+07,
2458041.625000000, A.D. 2017-Oct-15 03:00:00.0000, -2.326415059133396E+08,  7.864758870930834E+07,  4.232157954744788E+07,
2458041.666666667, A.D. 2017-Oct-15 04:00:00.0000, -2.326691200156257E+08,  7.857994957123069E+07,  4.229129970399809E+07,
2458041.708333333, A.D. 2017-Oct-15 05:00:00.0000, -2.326967082250194E+08,  7.851230178575020E+07,  4.226101519528109E+07,
2458041.750000000, A.D. 2017-Oct-15 06:00:00.0000, -2.327242705383904E+08,  7.844464536032395E+07,  4.223072602466886E+07,
2458041.791666667, A.D. 2017-Oct-15 07:00:00.0000, -2.327518069525842E+08,  7.837698030236660E+07,  4.220043219549773E+07,
2458041.833333333, A.D. 2017-Oct-15 08:00:00.0000, -2.327793174643985E+08,  7.830930661928807E+07,  4.217013371107520E+07,
2458041.875000000, A.D. 2017-Oct-15 09:00:00.0000, -2.328068020705859E+08,  7.824162431853008E+07,  4.213983057469979E+07,
2458041.916666667, A.D. 2017-Oct-15 10:00:00.0000, -2.328342607678812E+08,  7.817393340759066E+07,  4.210952278968789E+07,
2458041.958333333, A.D. 2017-Oct-15 11:00:00.0000, -2.328616935530466E+08,  7.810623389401391E+07,  4.207921035939268E+07,
2458042.000000000, A.D. 2017-Oct-15 12:00:00.0000, -2.328891004229056E+08,  7.803852578534885E+07,  4.204889328720131E+07,
2458042.041666667, A.D. 2017-Oct-15 13:00:00.0000, -2.329164813743335E+08,  7.797080908909777E+07,  4.201857157650394E+07,
2458042.083333333, A.D. 2017-Oct-15 14:00:00.0000, -2.329438364042120E+08,  7.790308381270534E+07,  4.198824523066394E+07,
2458042.125000000, A.D. 2017-Oct-15 15:00:00.0000, -2.329711655093879E+08,  7.783534996358497E+07,  4.195791425300921E+07,
2458042.166666667, A.D. 2017-Oct-15 16:00:00.0000, -2.329984686866571E+08,  7.776760754915917E+07,  4.192757864684420E+07,
2458042.208333333, A.D. 2017-Oct-15 17:00:00.0000, -2.330257459327778E+08,  7.769985657689339E+07,  4.189723841547374E+07,
2458042.250000000, A.D. 2017-Oct-15 18:00:00.0000, -2.330529972445045E+08,  7.763209705430953E+07,  4.186689356222820E+07,
2458042.291666667, A.D. 2017-Oct-15 19:00:00.0000, -2.330802226186341E+08,  7.756432898896514E+07,  4.183654409047748E+07,
2458042.333333333, A.D. 2017-Oct-15 20:00:00.0000, -2.331074220520268E+08,  7.749655238840272E+07,  4.180619000361645E+07,
2458042.375000000, A.D. 2017-Oct-15 21:00:00.0000, -2.331345955415816E+08,  7.742876726010905E+07,  4.177583130503148E+07,
2458042.416666667, A.D. 2017-Oct-15 22:00:00.0000, -2.331617430841867E+08,  7.736097361151940E+07,  4.174546799807605E+07,
2458042.458333333, A.D. 2017-Oct-15 23:00:00.0000, -2.331888646766866E+08,  7.729317145005123E+07,  4.171510008607049E+07,
2458042.500000000, A.D. 2017-Oct-16 00:00:00.0000, -2.332159603158766E+08,  7.722536078314488E+07,  4.168472757231925E+07,
2458042.541666667, A.D. 2017-Oct-16 01:00:00.0000, -2.332430299985237E+08,  7.715754161829112E+07,  4.165435046013617E+07,
2458042.583333333, A.D. 2017-Oct-16 02:00:00.0000, -2.332700737214073E+08,  7.708971396303414E+07,  4.162396875286763E+07,
