            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458042.125000000, A.D. 2017-Oct-15 15:00:00.0000,  4.280383839305532E+09, -1.320274914207196E+09, -7.145727318731767E+07,
2458042.166666667, A.D. 2017-Oct-15 16:00:00.0000,  4.280389474985196E+09, -1.320256099108886E+09, -7.145778845966482E+07,
2458042.208333333, A.D. 2017-Oct-15 17:00:00.0000,  4.280395110587773E+09, -1.320237283993551E+09, -7.145830374215144E+07,
2458042.250000000, A.D. 2017-Oct-15 18:00:00.0000,  4.280400746113283E+09, -1.320218468861165E+09, -7.145881903476685E+07,
2458042.291666667, A.D. 2017-Oct-15 19:00:00.0000,  4.280406381561746E+09, -1.320199653711697E+09, -7.145933433750039E+07,
2458042.333333333, A.D. 2017-Oct-15 20:00:00.0000,  4.280412016933180E+09, -1.320180838545121E+09, -7.145984965034145E+07,
2458042.375000000, A.D. 2017-Oct-15 21:00:00.0000,  4.280417652227606E+09, -1.320162023361409E+09, -7.146036497327912E+07,
2458042.416666667, A.D. 2017-Oct-15 22:00:00.0000,  4.280423287445044E+09, -1.320143208160533E+09, -7.146088030630249E+07,
2458042.458333333, A.D. 2017-Oct-15 23:00:00.0000,  4.280428922585513E+09, -1.320124392942464E+09, -7.146139564940149E+07,
2458042.500000000, A.D. 2017-Oct-16 00:00:00.0000,  4.280434557649032E+09, -1.320105577707174E+09, -7.146191100256497E+07,
2458042.541666667, A.D. 2017-Oct-16 01:00:00.0000,  4.280440192635621E+09, -1.320086762454636E+09, -7.146242636578226E+07,
2458042.583333333, A.D. 2017-Oct-16 02:00:00.0000,  4.280445827545299E+09, -1.320067947184821E+09, -7.146294173904300E+07,
2458042.625000000, A.D. 2017-Oct-16 03:00:00.0000,  4.280451462378086E+09, -1.320049131897702E+09, -7.146345712233615E+07,
2458042.666666667, A.D. 2017-Oct-16 04:00:00.0000,  4.280457097134002E+09, -1.320030316593250E+09, -7.146397251565075E+07,
2458042.708333333, A.D. 2017-Oct-16 05:00:00.0000,  4.280462731813067E+09, -1.320011501271438E+09, -7.146448791897678E+07,
2458042.750000000, A.D. 2017-Oct-16 06:00:00.0000,  4.280468366415298E+09, -1.319992685932237E+09, -7.146500333230311E+07,
2458042.791666667, A.D. 2017-Oct-16 07:00:00.0000,  4.280474000940718E+09, -1.319973870575619E+09, -7.146551875561917E+07,
2458042.833333333, A.D. 2017-Oct-16 08:00:00.0000,  4.280479635389345E+09, -1.319955055201557E+09, -7.146603418891394E+07,
2458042.875000000, A.D. 2017-Oct-16 09:00:00.0000,  4.280485269761198E+09, -1.319936239810021E+09, -7.146654963217747E+07,
2458042.916666667, A.D. 2017-Oct-16 10:00:00.0000,  4.280490904056296E+09, -1.319917424400985E+09, -7.146706508539832E+07,
2458042.958333333, A.D. 2017-Oct-16 11:00:00.0000,  4.280496538274661E+09, -1.319898608974421E+09, -7.146758054856610E+07,
2458043.000000000, A.D. 2017-Oct-16 12:00:00.0000,  4.280502172416311E+09, -1.319879793530299E+09, -7.146809602167016E+07,
2458043.041666667, A.D. 2017-Oct-16 13:00:00.0000,  4.280507806481266E+09, -1.319860978068593E+09, -7.146861150469953E+07,
2458043.083333333, A.D. 2017-Oct-16 14:00:00.0000,  4.280513440469544E+09, -1.319842162589274E+09, -7.146912699764371E+07,
2458043.125000000, A.D. 2017-Oct-16 15:00:00.0000,  4.280519074381167E+09, -1.319823347092314E+09, -7.146964250049204E+07,
2458043.166666667, A.D. 2017-Oct-16 16:00:00.0000,  4.280524708216154E+09, -1.319804531577685E+09, -7.147015801323378E+07,
2458043.208333333, A.D. 2017-Oct-16 17:00:00.0000,  4.280530341974523E+09, -1.319785716045360E+09, -7.147067353585827E+07,
2458043.250000000, A.D. 2017-Oct-16 18:00:00.0000,  4.280535975656294E+09, -1.319766900495309E+09, -7.147118906835467E+07,
2458043.291666667, A.D. 2017-Oct-16 19:00:00.0000,  4.280541609261489E+09, -1.319748084927505E+09, -7.147170461071229E+07,
2458043.333333333, A.D. 2017-Oct-16 20:00:00.0000,  4.280547242790125E+09, -1.319729269341921E+09, -7.147222016292042E+07,
2458043.375000000, A.D. 2017-Oct-16 21:00:00.0000,  4.280552876242222E+09, -1.319710453738527E+09, -7.147273572496885E+07,
2458043.416666667, A.D. 2017-Oct-16 22:00:00.0000,  4.280558509617801E+09, -1.319691638117296E+09, -7.147325129684609E+07,
2458043.458333333, A.D. 2017-Oct-16 23:00:00.0000,  4.280564142916879E+09, -1.319672822478201E+09, -7.147376687854189E+07,
2458043.500000000, A.D. 2017-Oct-17 00:00:00.0000,  4.280569776139477E+09, -1.319654006821212E+09, -7.147428247004557E+07,
2458043.541666667, A.D. 2017-Oct-17 01:00:00.0000,  4.280575409285616E+09, -1.319635191146302E+09, -7.147479807134628E+07,
2458043.583333333, A.D. 2017-Oct-17 02:00:00.0000,  4.280581042355313E+09, -1.319616375453443E+09, -7.147531368243319E+07,
2458043.625000000, A.D. 2017-Oct-17 03:00:00.0000,  4.280586675348589E+09, -1.319597559742607E+09, -7.147582930329609E+07,
2458043.666666667, A.D. 2017-Oct-17 04:00:00.0000,  4.280592308265464E+09, -1.319578744013766E+09, -7.147634493392384E+07,
2458043.708333333, A.D. 2017-Oct-17 05:00:00.0000,  4.280597941105956E+09, -1.319559928266891E+09, -7.147686057430583E+07,
2458043.750000000, A.D. 2017-Oct-17 06:00:00.0000,  4.280603573870086E+09, -1.319541112501956E+09, -7.147737622443157E+07,
2458043.791666667, A.D. 2017-Oct-17 07:00:00.0000,  4.280609206557873E+09, -1.319522296718931E+09, -7.147789188428998E+07,
2458043.833333333, A.D. 2017-Oct-17 08:00:00.0000,  4.280614839169336E+09, -1.319503480917789E+09, -7.147840755387080E+07,
2458043.875000000, A.D. 2017-Oct-17 09:00:00.0000,  4.280620471704496E+09, -1.319484665098501E+09, -7.147892323316294E+07,
2458043.916666667, A.D. 2017-Oct-17 10:00:00.0000,  4.280626104163371E+09, -1.319465849261040E+09, -7.147943892215586E+07,
