

*******************************************************************************
Ephemeris / WWW_USER Mon Apr  3 08:54:02 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Oct-14 10:00:00.0000 TDB
Stop  time      : A.D. 2018-Jan-17 10:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458042.583333333, A.D. 2017-Oct-16 02:00:00.0000, -6.864069472746985E+08, -4.070016373479375E+08, -1.577512812082728E+08,
2458042.625000000, A.D. 2017-Oct-16 03:00:00.0000, -6.863822763178179E+08, -4.070358525393040E+08, -1.577665474287650E+08,
2458042.666666667, A.D. 2017-Oct-16 04:00:00.0000, -6.863576030244253E+08, -4.070700668201808E+08, -1.577818133282508E+08,
2458042.708333333, A.D. 2017-Oct-16 05:00:00.0000, -6.863329273393421E+08, -4.071042801652010E+08, -1.577970788938298E+08,
2458042.750000000, A.D. 2017-Oct-16 06:00:00.0000, -6.863082492124486E+08, -4.071384925416907E+08, -1.578123441092016E+08,
2458042.791666667, A.D. 2017-Oct-16 07:00:00.0000, -6.862835685998410E+08, -4.071727039104995E+08, -1.578276089550790E+08,
2458042.833333333, A.D. 2017-Oct-16 08:00:00.0000, -6.862588854648197E+08, -4.072069142270060E+08, -1.578428734096821E+08,
2458042.875000000, A.D. 2017-Oct-16 09:00:00.0000, -6.862341997786888E+08, -4.072411234422281E+08, -1.578581374492790E+08,
2458042.916666667, A.D. 2017-Oct-16 10:00:00.0000, -6.862095115213548E+08, -4.072753315039998E+08, -1.578734010487556E+08,
2458042.958333333, A.D. 2017-Oct-16 11:00:00.0000, -6.861848206817205E+08, -4.073095383581883E+08, -1.578886641822019E+08,
2458043.000000000, A.D. 2017-Oct-16 12:00:00.0000, -6.861601272578695E+08, -4.073437439499358E+08, -1.579039268235058E+08,
2458043.041666667, A.D. 2017-Oct-16 13:00:00.0000, -6.861354312570441E+08, -4.073779482249017E+08, -1.579191889469452E+08,
2458043.083333333, A.D. 2017-Oct-16 14:00:00.0000, -6.861107326954170E+08, -4.074121511304839E+08, -1.579344505277658E+08,
2458043.125000000, A.D. 2017-Oct-16 15:00:00.0000, -6.860860315976692E+08, -4.074463526169937E+08, -1.579497115427347E+08,
2458043.166666667, A.D. 2017-Oct-16 16:00:00.0000, -6.860613279963826E+08, -4.074805526387597E+08, -1.579649719706561E+08,
2458043.208333333, A.D. 2017-Oct-16 17:00:00.0000, -6.860366219312657E+08, -4.075147511551359E+08, -1.579802317928398E+08,
2458043.250000000, A.D. 2017-Oct-16 18:00:00.0000, -6.860119134482316E+08, -4.075489481313920E+08, -1.579954909935102E+08,
2458043.291666667, A.D. 2017-Oct-16 19:00:00.0000, -6.859872025983490E+08, -4.075831435394690E+08, -1.580107495601502E+08,
2458043.333333333, A.D. 2017-Oct-16 20:00:00.0000, -6.859624894366921E+08, -4.076173373585861E+08, -1.580260074837714E+08,
2458043.375000000, A.D. 2017-Oct-16 21:00:00.0000, -6.859377740211149E+08, -4.076515295756888E+08, -1.580412647591087E+08,
2458043.416666667, A.D. 2017-Oct-16 22:00:00.0000, -6.859130564109739E+08, -4.076857201857339E+08, -1.580565213847360E+08,
2458043.458333333, A.D. 2017-Oct-16 23:00:00.0000, -6.858883366658267E+08, -4.077199091918095E+08, -1.580717773631022E+08,
2458043.500000000, A.D. 2017-Oct-17 00:00:00.0000, -6.858636148441281E+08, -4.077540966050896E+08, -1.580870327004896E+08,
2458043.541666667, A.D. 2017-Oct-17 01:00:00.0000, -6.858388910019512E+08, -4.077882824446290E+08, -1.581022874068955E+08,
2458043.583333333, A.D. 2017-Oct-17 02:00:00.0000, -6.858141651917511E+08, -4.078224667370008E+08, -1.581175414958405E+08,
2458043.625000000, A.D. 2017-Oct-17 03:00:00.0000, -6.857894374611962E+08, -4.078566495157855E+08, -1.581327949841062E+08,
2458043.666666667, A.D. 2017-Oct-17 04:00:00.0000, -6.857647078520836E+08, -4.078908308209174E+08, -1.581480478914066E+08,
2458043.708333333, A.D. 2017-Oct-17 05:00:00.0000, -6.857399763993618E+08, -4.079250106978987E+08, -1.581633002399981E+08,
2458043.750000000, A.D. 2017-Oct-17 06:00:00.0000, -6.857152431302758E+08, -4.079591891968917E+08, -1.581785520542338E+08,
2458043.791666667, A.D. 2017-Oct-17 07:00:00.0000, -6.856905080636535E+08, -4.079933663717028E+08, -1.581938033600672E+08,
2458043.833333333, A.D. 2017-Oct-17 08:00:00.0000, -6.856657712093520E+08, -4.080275422786721E+08, -1.582090541845149E+08,
2458043.875000000, A.D. 2017-Oct-17 09:00:00.0000, -6.856410325678786E+08, -4.080617169754890E+08, -1.582243045550855E+08,
2458043.916666667, A.D. 2017-Oct-17 10:00:00.0000, -6.856162921301999E+08, -4.080958905199537E+08, -1.582395544991866E+08,
2458043.958333333, A.D. 2017-Oct-17 11:00:00.0000, -6.855915498777518E+08, -4.081300629687093E+08, -1.582548040435207E+08,
2458044.000000000, A.D. 2017-Oct-17 12:00:00.0000, -6.855668057826579E+08, -4.081642343759730E+08, -1.582700532134838E+08,
2458044.041666667, A.D. 2017-Oct-17 13:00:00.0000, -6.855420598081599E+08, -4.081984047922932E+08, -1.582853020325796E+08,
2458044.083333333, A.D. 2017-Oct-17 14:00:00.0000, -6.855173119092572E+08, -4.082325742633662E+08, -1.583005505218659E+08,
2458044.125000000, A.D. 2017-Oct-17 15:00:00.0000, -6.854925620335469E+08, -4.082667428289415E+08, -1.583157986994460E+08,
2458044.166666667, A.D. 2017-Oct-17 16:00:00.0000, -6.854678101222489E+08, -4.083009105218455E+08, -1.583310465800198E+08,
2458044.208333333, A.D. 2017-Oct-17 17:00:00.0000, -6.854430561113932E+08, -4.083350773671527E+08, -1.583462941745067E+08,
2458044.250000000, A.D. 2017-Oct-17 18:00:00.0000, -6.854182999331408E+08, -4.083692433815246E+08, -1.583615414897521E+08,
2458044.291666667, A.D. 2017-Oct-17 19:00:00.0000, -6.853935415172030E+08, -4.084034085727382E+08, -1.583767885283246E+08,
2458044.333333333, A.D. 2017-Oct-17 20:00:00.0000, -6.853687807923242E+08, -4.084375729394143E+08, -1.583920352884096E+08,
2458044.375000000, A.D. 2017-Oct-17 21:00:00.0000, -6.853440176877881E+08, -4.084717364709537E+08, -1.584072817638029E+08,
2458044.416666667, A.D. 2017-Oct-17 22:00:00.0000, -6.853192521349148E+08, -4.085058991476822E+08, -1.584225279440029E+08,
2458044.458333333, A.D. 2017-Oct-17 23:00:00.0000, -6.852944840685143E+08, -4.085400609412010E+08, -1.584377738144013E+08,
2458044.500000000, A.D. 2017-Oct-18 00:00:00.0000, -6.852697134282730E+08, -4.085742218149345E+08, -1.584530193565651E+08,
2458044.541666667, A.D. 2017-Oct-18 01:00:00.0000, -6.852449401600505E+08, -4.086083817248637E+08, -1.584682645486077E+08,
2458044.583333333, A.D. 2017-Oct-18 02:00:00.0000, -6.852201642170608E+08, -4.086425406204333E+08, -1.584835093656396E+08,
2458044.625000000, A.D. 2017-Oct-18 03:00:00.0000, -6.851953855608999E+08, -4.086766984456095E+08, -1.584987537802895E+08,
2458044.666666667, A.D. 2017-Oct-18 04:00:00.0000, -6.851706041623414E+08, -4.087108551400608E+08, -1.585139977632791E+08,
2458044.708333333, A.D. 2017-Oct-18 05:00:00.0000, -6.851458200017539E+08, -4.087450106404065E+08, -1.585292412840254E+08,
2458044.750000000, A.D. 2017-Oct-18 06:00:00.0000, -6.851210330688624E+08, -4.087791648814418E+08, -1.585444843112196E+08,
2458044.791666667, A.D. 2017-Oct-18 07:00:00.0000, -6.850962433633043E+08, -4.088133177970229E+08, -1.585597268132624E+08,
2458044.833333333, A.D. 2017-Oct-18 08:00:00.0000, -6.850714508954241E+08, -4.088474693229392E+08, -1.585749687596370E+08,
2458044.875000000, A.D. 2017-Oct-18 09:00:00.0000, -6.850466556847458E+08, -4.088816193968264E+08, -1.585902101208507E+08,
2458044.916666667, A.D. 2017-Oct-18 10:00:00.0000, -6.850218577600248E+08, -4.089157679591001E+08, -1.586054508688833E+08,
2458044.958333333, A.D. 2017-Oct-18 11:00:00.0000, -6.849970571584388E+08, -4.089499149545981E+08, -1.586206909779539E+08,
2458045.000000000, A.D. 2017-Oct-18 12:00:00.0000, -6.849722539247000E+08, -4.089840603336924E+08, -1.586359304250372E+08,
2458045.041666667, A.D. 2017-Oct-18 13:00:00.0000, -6.849474481100801E+08, -4.090182040531200E+08, -1.586511691902442E+08,
2458045.083333333, A.D. 2017-Oct-18 14:00:00.0000, -6.849226397713404E+08, -4.090523460766454E+08, -1.586664072571223E+08,
2458045.125000000, A.D. 2017-Oct-18 15:00:00.0000, -6.848978289695750E+08, -4.090864863755983E+08, -1.586816446128945E+08,
2458045.166666667, A.D. 2017-Oct-18 16:00:00.0000, -6.848730157689815E+08, -4.091206249292870E+08, -1.586968812486373E+08,
2458045.208333333, A.D. 2017-Oct-18 17:00:00.0000, -6.848482002355747E+08, -4.091547617252752E+08, -1.587121171593933E+08,
2458045.250000000, A.D. 2017-Oct-18 18:00:00.0000, -6.848233824358746E+08, -4.091888967595072E+08, -1.587273523442097E+08,
2458045.291666667, A.D. 2017-Oct-18 19:00:00.0000, -6.847985624355867E+08, -4.092230300362680E+08, -1.587425868061000E+08,
2458045.333333333, A.D. 2017-Oct-18 20:00:00.0000, -6.847737402983073E+08, -4.092571615679768E+08, -1.587578205519245E+08,
2458045.375000000, A.D. 2017-Oct-18 21:00:00.0000, -6.847489160842755E+08, -4.092912913748127E+08, -1.587730535921936E+08,
2458045.416666667, A.D. 2017-Oct-18 22:00:00.0000, -6.847240898491981E+08, -4.093254194841826E+08, -1.587882859407950E+08,
2458045.458333333, A.D. 2017-Oct-18 23:00:00.0000, -6.846992616431706E+08, -4.093595459300399E+08, -1.588035176146534E+08,
2458045.500000000, A.D. 2017-Oct-19 00:00:00.0000, -6.846744315097133E+08, -4.093936707520714E+08, -1.588187486333277E+08,
2458045.541666667, A.D. 2017-Oct-19 01:00:00.0000, -6.846495994849442E+08, -4.094277939947662E+08, -1.588339790185546E+08,
2458045.583333333, A.D. 2017-Oct-19 02:00:00.0000, -6.846247655969032E+08, -4.094619157063854E+08, -1.588492087937477E+08,
2458045.625000000, A.D. 2017-Oct-19 03:00:00.0000, -6.845999298650448E+08, -4.094960359378504E+08, -1.588644379834593E+08,
2458045.666666667, A.D. 2017-Oct-19 04:00:00.0000, -6.845750922999120E+08, -4.095301547415709E+08, -1.588796666128172E+08,
2458045.708333333, A.D. 2017-Oct-19 05:00:00.0000, -6.845502529030004E+08, -4.095642721702340E+08, -1.588948947069453E+08,
2458045.750000000, A.D. 2017-Oct-19 06:00:00.0000, -6.845254116668230E+08, -4.095983882755771E+08, -1.589101222903801E+08,
2458045.791666667, A.D. 2017-Oct-19 07:00:00.0000, -6.845005685751758E+08, -4.096325031071723E+08, -1.589253493864951E+08,
2458045.833333333, A.D. 2017-Oct-19 08:00:00.0000, -6.844757236036081E+08, -4.096666167112471E+08, -1.589405760169462E+08,
2458045.875000000, A.D. 2017-Oct-19 09:00:00.0000, -6.844508767200885E+08, -4.097007291295726E+08, -1.589558022011522E+08,
2458045.916666667, A.D. 2017-Oct-19 10:00:00.0000, -6.844260278858596E+08, -4.097348403984450E+08, -1.589710279558225E+08,
2458045.958333333, A.D. 2017-Oct-19 11:00:00.0000, -6.844011770564632E+08, -4.097689505477923E+08, -1.589862532945476E+08,
2458046.000000000, A.D. 2017-Oct-19 12:00:00.0000, -6.843763241829147E+08, -4.098030596004304E+08, -1.590014782274623E+08,
2458046.041666667, A.D. 2017-Oct-19 13:00:00.0000, -6.843514692130001E+08, -4.098371675714920E+08, -1.590167027609940E+08,
2458046.083333333, A.D. 2017-Oct-19 14:00:00.0000, -6.843266120926623E+08, -4.098712744680478E+08, -1.590319268977039E+08,
2458046.125000000, A.D. 2017-Oct-19 15:00:00.0000, -6.843017527674413E+08, -4.099053802889332E+08, -1.590471506362260E+08,
2458046.166666667, A.D. 2017-Oct-19 16:00:00.0000, -6.842768911839279E+08, -4.099394850247859E+08, -1.590623739713082E+08,
2458046.208333333, A.D. 2017-Oct-19 17:00:00.0000, -6.842520272911924E+08, -4.099735886582951E+08, -1.590775968939527E+08,
2458046.250000000, A.D. 2017-Oct-19 18:00:00.0000, -6.842271610421463E+08, -4.100076911646536E+08, -1.590928193916527E+08,
2458046.291666667, A.D. 2017-Oct-19 19:00:00.0000, -6.842022923948016E+08, -4.100417925122003E+08, -1.591080414487178E+08,
2458046.333333333, A.D. 2017-Oct-19 20:00:00.0000, -6.841774213133919E+08, -4.100758926632307E+08, -1.591232630466774E+08,
2458046.375000000, A.D. 2017-Oct-19 21:00:00.0000, -6.841525477693305E+08, -4.101099915749532E+08, -1.591384841647512E+08,
2458046.416666667, A.D. 2017-Oct-19 22:00:00.0000, -6.841276717419800E+08, -4.101440892005606E+08, -1.591537047803715E+08,
2458046.458333333, A.D. 2017-Oct-19 23:00:00.0000, -6.841027932192242E+08, -4.101781854903904E+08, -1.591689248697449E+08,
2458046.500000000, A.D. 2017-Oct-20 00:00:00.0000, -6.840779121978322E+08, -4.102122803931404E+08, -1.591841444084369E+08,
2458046.541666667, A.D. 2017-Oct-20 01:00:00.0000, -6.840530286836132E+08, -4.102463738571144E+08, -1.591993633719679E+08,
2458046.583333333, A.D. 2017-Oct-20 02:00:00.0000, -6.840281426913701E+08, -4.102804658314667E+08, -1.592145817364050E+08,
2458046.625000000, A.D. 2017-Oct-20 03:00:00.0000, -6.840032542446544E+08, -4.103145562674220E+08, -1.592297994789397E+08,
2458046.666666667, A.D. 2017-Oct-20 04:00:00.0000, -6.839783633753321E+08, -4.103486451194440E+08, -1.592450165784375E+08,
2458046.708333333, A.D. 2017-Oct-20 05:00:00.0000, -6.839534701229668E+08, -4.103827323463296E+08, -1.592602330159495E+08,
2458046.750000000, A.D. 2017-Oct-20 06:00:00.0000, -6.839285745340239E+08, -4.104168179122028E+08, -1.592754487751729E+08,
2458046.791666667, A.D. 2017-Oct-20 07:00:00.0000, -6.839036766609061E+08, -4.104509017873827E+08, -1.592906638428497E+08,
2458046.833333333, A.D. 2017-Oct-20 08:00:00.0000, -6.838787765608321E+08, -4.104849839491050E+08, -1.593058782090919E+08,
2458046.875000000, A.D. 2017-Oct-20 09:00:00.0000, -6.838538742946001E+08, -4.105190643820800E+08, -1.593210918676287E+08,
2458046.916666667, A.D. 2017-Oct-20 10:00:00.0000, -6.838289699253185E+08, -4.105531430788944E+08, -1.593363048159770E+08,
2458046.958333333, A.D. 2017-Oct-20 11:00:00.0000, -6.838040635172732E+08, -4.105872200403059E+08, -1.593515170555647E+08,
2458047.000000000, A.D. 2017-Oct-20 12:00:00.0000, -6.837791551352364E+08, -4.106212952755536E+08, -1.593667285918676E+08,
2458047.041666667, A.D. 2017-Oct-20 13:00:00.0000, -6.837542448425670E+08, -4.106553688025593E+08, -1.593819394344717E+08,
2458047.083333333, A.D. 2017-Oct-20 14:00:00.0000, -6.837293326993113E+08, -4.106894406461552E+08, -1.593971495962083E+08,
2458047.125000000, A.D. 2017-Oct-20 15:00:00.0000, -6.837044187619759E+08, -4.107235108391437E+08, -1.594123590936480E+08,
2458047.166666667, A.D. 2017-Oct-20 16:00:00.0000, -6.836795030816739E+08, -4.107575794218476E+08, -1.594275679468546E+08,
2458047.208333333, A.D. 2017-Oct-20 17:00:00.0000, -6.836545857033075E+08, -4.107916464410213E+08, -1.594427761788566E+08,
2458047.250000000, A.D. 2017-Oct-20 18:00:00.0000, -6.836296666646627E+08, -4.108257119489574E+08, -1.594579838152089E+08,
2458047.291666667, A.D. 2017-Oct-20 19:00:00.0000, -6.836047459955410E+08, -4.108597760025919E+08, -1.594731908835510E+08,
2458047.333333333, A.D. 2017-Oct-20 20:00:00.0000, -6.835798237170134E+08, -4.108938386625177E+08, -1.594883974131252E+08,
2458047.375000000, A.D. 2017-Oct-20 21:00:00.0000, -6.835548998408378E+08, -4.109278999918876E+08, -1.595036034342443E+08,
2458047.416666667, A.D. 2017-Oct-20 22:00:00.0000, -6.835299743690730E+08, -4.109619600552189E+08, -1.595188089777153E+08,
2458047.458333333, A.D. 2017-Oct-20 23:00:00.0000, -6.835050472938981E+08, -4.109960189171295E+08, -1.595340140742344E+08,
2458047.500000000, A.D. 2017-Oct-21 00:00:00.0000, -6.834801185976480E+08, -4.110300766410413E+08, -1.595492187537695E+08,
2458047.541666667, A.D. 2017-Oct-21 01:00:00.0000, -6.834551882530634E+08, -4.110641332878886E+08, -1.595644230449486E+08,
2458047.583333333, A.D. 2017-Oct-21 02:00:00.0000, -6.834302562237531E+08, -4.110981889148623E+08, -1.595796269744690E+08,
2458047.625000000, A.D. 2017-Oct-21 03:00:00.0000, -6.834053224648575E+08, -4.111322435742242E+08, -1.595948305665421E+08,
2458047.666666667, A.D. 2017-Oct-21 04:00:00.0000, -6.833803869239076E+08, -4.111662973122178E+08, -1.596100338423877E+08,
2458047.708333333, A.D. 2017-Oct-21 05:00:00.0000, -6.833554495418584E+08, -4.112003501681010E+08, -1.596252368197899E+08,
2458047.750000000, A.D. 2017-Oct-21 06:00:00.0000, -6.833305102542793E+08, -4.112344021733265E+08, -1.596404395127240E+08,
2458047.791666667, A.D. 2017-Oct-21 07:00:00.0000, -6.833055689926730E+08, -4.112684533508877E+08, -1.596556419310659E+08,
2458047.833333333, A.D. 2017-Oct-21 08:00:00.0000, -6.832806256858996E+08, -4.113025037148501E+08, -1.596708440803912E+08,
2458047.875000000, A.D. 2017-Oct-21 09:00:00.0000, -6.832556802616637E+08, -4.113365532700815E+08, -1.596860459618697E+08,
2458047.916666667, A.D. 2017-Oct-21 10:00:00.0000, -6.832307326480361E+08, -4.113706020121895E+08, -1.597012475722597E+08,
2458047.958333333, A.D. 2017-Oct-21 11:00:00.0000, -6.832057827749684E+08, -4.114046499276720E+08, -1.597164489040036E+08,
2458048.000000000, A.D. 2017-Oct-21 12:00:00.0000, -6.831808305757611E+08, -4.114386969942760E+08, -1.597316499454219E+08,
2458048.041666667, A.D. 2017-Oct-21 13:00:00.0000, -6.831558759884499E+08, -4.114727431815588E+08, -1.597468506810029E+08,
2458048.083333333, A.D. 2017-Oct-21 14:00:00.0000, -6.831309189570735E+08, -4.115067884516346E+08, -1.597620510917784E+08,
2458048.125000000, A.D. 2017-Oct-21 15:00:00.0000, -6.831059594327917E+08, -4.115408327600881E+08, -1.597772511557768E+08,
2458048.166666667, A.D. 2017-Oct-21 16:00:00.0000, -6.830809973748274E+08, -4.115748760570278E+08, -1.597924508485401E+08,
2458048.208333333, A.D. 2017-Oct-21 17:00:00.0000, -6.830560327512125E+08, -4.116089182882504E+08, -1.598076501436910E+08,
2458048.250000000, A.D. 2017-Oct-21 18:00:00.0000, -6.830310655393199E+08, -4.116429593964855E+08, -1.598228490135344E+08,
2458048.291666667, A.D. 2017-Oct-21 19:00:00.0000, -6.830060957261801E+08, -4.116769993226850E+08, -1.598380474296771E+08,
2458048.333333333, A.D. 2017-Oct-21 20:00:00.0000, -6.829811233085744E+08, -4.117110380073279E+08, -1.598532453636519E+08,
2458048.375000000, A.D. 2017-Oct-21 21:00:00.0000, -6.829561482929151E+08, -4.117450753917067E+08, -1.598684427875286E+08,
2458048.416666667, A.D. 2017-Oct-21 22:00:00.0000, -6.829311706949186E+08, -4.117791114191695E+08, -1.598836396745013E+08,
2458048.458333333, A.D. 2017-Oct-21 23:00:00.0000, -6.829061905390916E+08, -4.118131460362905E+08, -1.598988359994390E+08,
2458048.500000000, A.D. 2017-Oct-22 00:00:00.0000, -6.828812078580414E+08, -4.118471791939500E+08, -1.599140317393896E+08,
2458048.541666667, A.D. 2017-Oct-22 01:00:00.0000, -6.828562226916388E+08, -4.118812108483048E+08, -1.599292268740299E+08,
2458048.583333333, A.D. 2017-Oct-22 02:00:00.0000, -6.828312350860469E+08, -4.119152409616359E+08, -1.599444213860547E+08,
2458048.625000000, A.D. 2017-Oct-22 03:00:00.0000, -6.828062450926436E+08, -4.119492695030619E+08, -1.599596152615004E+08,
2458048.666666667, A.D. 2017-Oct-22 04:00:00.0000, -6.827812527668561E+08, -4.119832964491083E+08, -1.599748084899984E+08,
2458048.708333333, A.D. 2017-Oct-22 05:00:00.0000, -6.827562581669289E+08, -4.120173217841268E+08, -1.599900010649563E+08,
2458048.750000000, A.D. 2017-Oct-22 06:00:00.0000, -6.827312613526442E+08, -4.120513455005559E+08, -1.600051929836619E+08,
2458048.791666667, A.D. 2017-Oct-22 07:00:00.0000, -6.827062623840187E+08, -4.120853675990194E+08, -1.600203842473103E+08,
2458048.833333333, A.D. 2017-Oct-22 08:00:00.0000, -6.826812613199923E+08, -4.121193880882582E+08, -1.600355748609512E+08,
2458048.875000000, A.D. 2017-Oct-22 09:00:00.0000, -6.826562582171402E+08, -4.121534069848943E+08, -1.600507648333562E+08,
