

*******************************************************************************
Ephemeris / WWW_USER Wed Apr  5 09:34:47 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Oct-14 10:00:00.0000 TDB
Stop  time      : A.D. 2018-Jan-06 10:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458040.916666667, A.D. 2017-Oct-14 10:00:00.0000,  1.393563791945834E+08,  5.011127817167211E+07,  2.169715469151502E+07,
2458040.958333333, A.D. 2017-Oct-14 11:00:00.0000,  1.393134550386165E+08,  5.020030392668989E+07,  2.173610425842377E+07,
2458041.000000000, A.D. 2017-Oct-14 12:00:00.0000,  1.392704849510086E+08,  5.028928060012202E+07,  2.177503294384019E+07,
2458041.041666667, A.D. 2017-Oct-14 13:00:00.0000,  1.392274691811311E+08,  5.037820841091927E+07,  2.181394080717544E+07,
2458041.083333333, A.D. 2017-Oct-14 14:00:00.0000,  1.391844079752763E+08,  5.046708757992268E+07,  2.185282790869000E+07,
2458041.125000000, A.D. 2017-Oct-14 15:00:00.0000,  1.391413015766420E+08,  5.055591832982867E+07,  2.189169430948236E+07,
2458041.166666667, A.D. 2017-Oct-14 16:00:00.0000,  1.390981502253169E+08,  5.064470088515401E+07,  2.193054007147762E+07,
2458041.208333333, A.D. 2017-Oct-14 17:00:00.0000,  1.390549541582662E+08,  5.073343547220080E+07,  2.196936525741600E+07,
2458041.250000000, A.D. 2017-Oct-14 18:00:00.0000,  1.390117136093178E+08,  5.082212231902142E+07,  2.200816993084142E+07,
2458041.291666667, A.D. 2017-Oct-14 19:00:00.0000,  1.389684288091490E+08,  5.091076165538338E+07,  2.204695415608994E+07,
2458041.333333333, A.D. 2017-Oct-14 20:00:00.0000,  1.389250999852734E+08,  5.099935371273421E+07,  2.208571799827826E+07,
2458041.375000000, A.D. 2017-Oct-14 21:00:00.0000,  1.388817273620280E+08,  5.108789872416632E+07,  2.212446152329206E+07,
2458041.416666667, A.D. 2017-Oct-14 22:00:00.0000,  1.388383111605615E+08,  5.117639692438172E+07,  2.216318479777447E+07,
2458041.458333333, A.D. 2017-Oct-14 23:00:00.0000,  1.387948515988223E+08,  5.126484854965689E+07,  2.220188788911432E+07,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000,  1.387513488915470E+08,  5.135325383780748E+07,  2.224057086543453E+07,
2458041.541666667, A.D. 2017-Oct-15 01:00:00.0000,  1.387078032502501E+08,  5.144161302815311E+07,  2.227923379558033E+07,
2458041.583333333, A.D. 2017-Oct-15 02:00:00.0000,  1.386642148832127E+08,  5.152992636148208E+07,  2.231787674910760E+07,
2458041.625000000, A.D. 2017-Oct-15 03:00:00.0000,  1.386205839954728E+08,  5.161819408001614E+07,  2.235649979627103E+07,
2458041.666666667, A.D. 2017-Oct-15 04:00:00.0000,  1.385769107888159E+08,  5.170641642737512E+07,  2.239510300801231E+07,
2458041.708333333, A.D. 2017-Oct-15 05:00:00.0000,  1.385331954617653E+08,  5.179459364854182E+07,  2.243368645594840E+07,
2458041.750000000, A.D. 2017-Oct-15 06:00:00.0000,  1.384894382095734E+08,  5.188272598982656E+07,  2.247225021235957E+07,
2458041.791666667, A.D. 2017-Oct-15 07:00:00.0000,  1.384456392242132E+08,  5.197081369883209E+07,  2.251079435017764E+07,
2458041.833333333, A.D. 2017-Oct-15 08:00:00.0000,  1.384017986943704E+08,  5.205885702441818E+07,  2.254931894297400E+07,
2458041.875000000, A.D. 2017-Oct-15 09:00:00.0000,  1.383579168054361E+08,  5.214685621666649E+07,  2.258782406494775E+07,
2458041.916666667, A.D. 2017-Oct-15 10:00:00.0000,  1.383139937394987E+08,  5.223481152684531E+07,  2.262630979091378E+07,
2458041.958333333, A.D. 2017-Oct-15 11:00:00.0000,  1.382700296753379E+08,  5.232272320737436E+07,  2.266477619629080E+07,
2458042.000000000, A.D. 2017-Oct-15 12:00:00.0000,  1.382260247884182E+08,  5.241059151178960E+07,  2.270322335708938E+07,
2458042.041666667, A.D. 2017-Oct-15 13:00:00.0000,  1.381819792508826E+08,  5.249841669470810E+07,  2.274165134990001E+07,
2458042.083333333, A.D. 2017-Oct-15 14:00:00.0000,  1.381378932315471E+08,  5.258619901179293E+07,  2.278006025188107E+07,
2458042.125000000, A.D. 2017-Oct-15 15:00:00.0000,  1.380937668958958E+08,  5.267393871971802E+07,  2.281845014074688E+07,
2458042.166666667, A.D. 2017-Oct-15 16:00:00.0000,  1.380496004060759E+08,  5.276163607613320E+07,  2.285682109475562E+07,
2458042.208333333, A.D. 2017-Oct-15 17:00:00.0000,  1.380053939208934E+08,  5.284929133962912E+07,  2.289517319269739E+07,
2458042.250000000, A.D. 2017-Oct-15 18:00:00.0000,  1.379611475958090E+08,  5.293690476970234E+07,  2.293350651388212E+07,
2458042.291666667, A.D. 2017-Oct-15 19:00:00.0000,  1.379168615829348E+08,  5.302447662672038E+07,  2.297182113812760E+07,
